Product ID,Recency,Frequency,Monetary,class
TEC-AC-10003033,79,10,50548.34,1
FUR-CH-10003950,137,10,89817.73,1
TEC-PH-10004664,75,10,174677.99,1
TEC-PH-10004583,183,4,72987.67,1
TEC-SHA-10000501,421,1,22663.68,2
TEC-PH-10000030,23,5,70561.76,1
FUR-CH-10004050,410,2,9110.4,2
FUR-TA-10002958,27,9,74635.13,1
OFF-BI-10003527,41,10,100662.41,1
FUR-TA-10000198,89,5,81324.65,1
OFF-SU-10002881,11,6,80949.13,1
FUR-TA-10001889,30,11,105426.05,1
TEC-CIS-10001717,336,5,18253.3,2
FUR-CH-10002033,9,5,26725.08,1
OFF-AP-10003500,111,4,68237.52,1
OFF-AP-10000423,79,2,15787.63,1
TEC-AC-10004145,58,5,55297.79,1
OFF-AP-10004512,114,7,188845.73,1
TEC-CO-10000865,48,5,40865.79,1
OFF-KIT-10004058,26,3,21197.22,1
FUR-HON-10000224,875,2,9888.6,2
TEC-PH-10001363,40,4,20177.65,1
FUR-CH-10000027,347,12,126266.31,2
OFF-AP-10003590,4,6,84567.81,1
TEC-PH-10004182,124,3,19280.7,1
FUR-TA-10002827,117,3,20110.45,1
FUR-TA-10004744,282,2,11148.54,2
TEC-PH-10002885,97,6,74860.42,1
FUR-CH-10001415,36,7,50889.83,1
TEC-PH-10002815,110,8,76009.47,1
TEC-MA-10000161,121,9,62427.2,1
FUR-CH-10002024,135,8,124494.05,1
OFF-AP-10004246,1154,1,12634.65,2
FUR-TA-10003473,16,12,78629.98,1
TEC-APP-10000308,306,9,41989.86,2
TEC-MA-10003979,669,2,45499.35,2
TEC-MA-10004125,56,1,31999.92,1
TEC-CO-10000013,97,8,81721.44,1
TEC-PH-10000499,496,4,65734.33,2
TEC-PH-10003856,50,3,52288.74,1
FUR-BO-10004852,96,7,116104.14,1
OFF-AP-10000486,298,3,25227.07,2
OFF-BI-10001120,23,3,70307.63,1
FUR-CH-10003365,285,7,35200.5,2
FUR-CH-10000602,48,8,76885.61,1
TEC-MA-10002680,5,5,24356.47,1
FUR-CH-10000891,13,8,87459.98,1
TEC-CAN-10003392,104,3,18187.02,1
TEC-CO-10001449,6,8,111478.14,1
FUR-BO-10001372,322,4,51904.95,2
TEC-MOT-10002272,378,3,13556.34,2
TEC-CO-10004997,43,8,44597.28,1
TEC-CO-10001766,453,7,44723.27,2
FUR-TA-10000226,33,2,8988.5,1
OFF-AP-10002244,50,3,69951.59,1
TEC-PH-10001459,40,6,118101.19,1
FUR-BO-10001073,162,4,43594.71,1
TEC-MA-10000045,782,2,23219.0,2
TEC-PH-10002035,134,5,61375.95,1
TEC-PH-10002565,272,8,26268.49,2
OFF-AP-10002945,212,8,67345.6,1
FUR-BO-10004999,24,5,58771.02,1
FUR-TA-10001205,15,2,23966.09,1
TEC-PH-10004196,23,10,86137.2,1
FUR-CHR-10001018,855,2,9293.4,2
FUR-CH-10003232,163,6,65263.14,1
OFF-AP-10001630,1135,1,31765.24,2
FUR-HAR-10002873,229,5,49133.52,1
FUR-TA-10000687,127,1,23990.05,1
TEC-PH-10004505,79,6,47769.38,1
TEC-PH-10002683,7,7,49771.39,1
TEC-CO-10002269,278,5,23114.2,2
TEC-CO-10002526,492,6,52491.32,2
FUR-CH-10002891,42,4,86804.14,1
TEC-CAN-10001437,5,6,99739.04,1
OFF-BI-10004995,72,6,77304.23,1
TEC-PH-10004327,701,1,16099.5,2
OFF-AP-10001621,440,8,36508.03,2
OFF-HOO-10001881,114,4,18358.16,1
TEC-CO-10001954,61,5,44150.31,1
FUR-BO-10003282,336,3,57790.66,2
TEC-CO-10003102,35,7,55752.44,1
FUR-TA-10003392,413,4,15341.51,2
OFF-AP-10002552,2,2,14106.53,1
TEC-MOT-10000554,7,6,38123.62,1
FUR-TA-10003627,968,1,3695.04,4
FUR-BO-10001133,275,5,28336.07,2
TEC-MA-10003515,552,4,38148.71,2
OFF-AP-10002904,484,2,26145.94,2
TEC-MOT-10003348,119,8,35990.64,1
TEC-PH-10001990,42,4,65548.65,1
TEC-PH-10002898,925,1,8669.18,2
TEC-CO-10001633,41,8,39875.44,1
TEC-PH-10002623,117,7,67844.69,1
FUR-TA-10004575,54,7,26915.65,1
FUR-BO-10001498,92,10,53794.09,1
